playerDisplayName,playerFirstName,playerLastName,playerPrimaryPosition,sessionTitle,sessionType,sessionDayOfWeek,sessionWeekNo,sessionEndTime,sessionStartTime,sessionDate,drillTitle,drillStartTime,drillEndTime,drillDate,totalTime,distanceTotal,distancePerMin,highSpeedRunningAbs,hsrAbsPerMin,maxSpeed,playerMaxSpeed,accelerationsAbs,accelImpulseTotal,accelsPerMinAbs,maxAcceleration,playerMaxAccel,decelerationsAbs,decelsPerMinAbs,decelsPerMinRel,maxDeceleration,playerMaxDecel,hmld,effortsNumber,hmldPerMin,dynamicLoadAnt,dynamicLoadLat,dynamicLoadVert,hrexertion,hrLoad,maxHeartrate,stepBalance,DrillTitle_Clean,Period15,Half,GameKey,DrillOrder,Home_Team_CLEAN,Away_Team_CLEAN,sessionDate_clean,DateKey,Home_Team_STD,Away_Team_STD,sessionTitle_STD
23 Agapakis,Giorgos,Agapakis,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:01:00PM,9:42:00PM,10/18/2025,Entire Session,9:42:00PM,10:01:00PM,10/18/2025,19,1857.83,97.79,106.96,5.63,27.64,32.22,21,80.97,1.11,5.21,6.12,10,0.53,0.53,5.66,8.85,360.39,42,18.97,9.25,8.54,15.1,101.9,87.35,182,-0.03,Entire Session,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
23 Agapakis,Giorgos,Agapakis,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:01:00PM,9:42:00PM,10/18/2025,75-90,9:42:13PM,9:51:25PM,10/18/2025,9.19,996.95,108.52,86.83,9.45,25.74,32.22,12,83.91,1.31,5.21,6.12,4,0.44,0.44,4.18,8.85,234.01,25,25.47,5.05,4.68,8.33,52.7,43.42,182,-0.03,75-90,75-90,Second Half,20251018|PANETOLIKOS|OFI CRETE,6,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
23 Agapakis,Giorgos,Agapakis,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:01:00PM,9:42:00PM,10/18/2025,2nd half,9:42:25PM,10:01:00PM,10/18/2025,18.58,1854.24,99.77,106.96,5.76,27.64,32.22,20,81.71,1.08,5.21,6.12,10,0.54,0.54,5.66,8.85,360.14,41,19.38,9.19,8.48,15.02,100.88,85.96,182,-0.03,2nd Half,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
23 Agapakis,Giorgos,Agapakis,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:01:00PM,9:42:00PM,10/18/2025,2nd Half ET,9:51:25PM,10:01:00PM,10/18/2025,9.58,860.56,89.78,20.13,2.1,27.64,32.22,9,79.42,0.94,4.92,6.12,6,0.63,0.63,5.66,8.85,126.38,17,13.19,4.18,3.85,6.74,48.66,43.17,178,-0.03,2nd Half ET,ET,ET,20251018|PANETOLIKOS|OFI CRETE,7,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
77 Nikolaou,Vangelis,Nikolaou,Defensive Midfielder,Panetolikos - OFI Crete,Match Day,Saturday,42,10:01:00PM,9:42:00PM,10/18/2025,Entire Session,9:42:00PM,10:01:00PM,10/18/2025,19,2002.59,105.41,134.78,7.09,28.74,33.76,20,81.19,1.05,4.62,6.24,17,0.89,0.89,5.28,8.21,431.89,47,22.73,8.82,7.9,16.76,73.42,71.23,191,-0.01,Entire Session,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
77 Nikolaou,Vangelis,Nikolaou,Defensive Midfielder,Panetolikos - OFI Crete,Match Day,Saturday,42,10:01:00PM,9:42:00PM,10/18/2025,75-90,9:42:13PM,9:51:25PM,10/18/2025,9.19,1034.02,112.56,80.99,8.82,28.74,33.76,11,82.23,1.2,4.62,6.24,10,1.09,1.09,4.96,8.21,272.72,26,29.69,4.83,4.36,9.04,33.61,33.6,191,-0.01,75-90,75-90,Second Half,20251018|PANETOLIKOS|OFI CRETE,6,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
77 Nikolaou,Vangelis,Nikolaou,Defensive Midfielder,Panetolikos - OFI Crete,Match Day,Saturday,42,10:01:00PM,9:42:00PM,10/18/2025,2nd half,9:42:25PM,10:01:00PM,10/18/2025,18.58,2001.04,107.67,134.78,7.25,28.74,33.76,20,82.67,1.08,4.62,6.24,17,0.91,0.91,5.28,8.21,431.89,47,23.24,8.8,7.88,16.73,73.29,71.23,191,-0.01,2nd Half,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
77 Nikolaou,Vangelis,Nikolaou,Defensive Midfielder,Panetolikos - OFI Crete,Match Day,Saturday,42,10:01:00PM,9:42:00PM,10/18/2025,2nd Half ET,9:51:25PM,10:01:00PM,10/18/2025,9.58,969.18,101.11,53.78,5.61,27.53,33.76,9,81.95,0.94,4.31,6.24,7,0.73,0.73,5.28,8.21,159.16,21,16.61,4,3.54,7.72,39.76,37.65,191,-0.01,2nd Half ET,ET,ET,20251018|PANETOLIKOS|OFI CRETE,7,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
35 Mavrias,Charis,Mavrias,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,Entire Session,7:58:27PM,10:14:52PM,10/18/2025,136.4,9380.09,68.77,822.64,6.03,33.46,34.56,60,58.47,0.44,7.89,6.03,80,0.59,0.59,7.76,7.44,1941.77,182,14.24,40.05,40.46,67.38,151.9,214,182,-0.05,Entire Session,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
35 Mavrias,Charis,Mavrias,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,15-Jan,8:00:01PM,8:15:10PM,10/18/2025,15.15,1750.9,115.56,122.32,8.07,31.3,34.56,6,91.06,0.4,3.95,6.03,16,1.06,1.06,7.76,7.44,371.04,42,24.49,7.59,7.3,12.97,31.92,44.96,173,-0.04,0-15,0-15,First Half,20251018|PANETOLIKOS|OFI CRETE,1,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
35 Mavrias,Charis,Mavrias,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,1st half,8:00:01PM,8:49:12PM,10/18/2025,49.18,5386.21,109.51,531.44,10.81,33.46,34.56,39,84.71,0.79,6.41,6.03,50,1.02,1.02,7.76,7.44,1295.33,119,26.34,23.77,23.13,39.89,83.18,114.27,182,-0.05,1st Half,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
35 Mavrias,Charis,Mavrias,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,15-30,8:15:10PM,8:30:15PM,10/18/2025,15.09,1782.74,118.18,174.22,11.55,32.13,34.56,18,92.08,1.19,6.41,6.03,21,1.39,1.39,6.33,7.44,451.47,39,29.93,8.34,8.27,14.11,35.92,46.84,182,-0.05,15-30,15-30,First Half,20251018|PANETOLIKOS|OFI CRETE,2,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
35 Mavrias,Charis,Mavrias,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,30-45,8:30:15PM,8:45:20PM,10/18/2025,15.08,1471.11,97.52,189.61,12.57,33.46,34.56,10,73.8,0.66,5.18,6.03,10,0.66,0.66,6.93,7.44,359.87,30,23.86,6.14,5.9,10.04,12.77,18.56,158,-0.03,30-45,30-45,First Half,20251018|PANETOLIKOS|OFI CRETE,3,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
