Player Display Name,Session Type,Drill Title,Session Date,Dives,Dives Right,Dives Left,GK Load,Average GK Power,Average Time Since Last Dive,Average Dive Impact,Total Distance,Accelerations (Absolute),Decelerations (Absolute),HML Distance,Session Start Time,Session End Time,Session Week Number,Session Day of Week,Session Title,Drill Start Time,Drill End Time,Drill Date,Player Last Name,Total Time,
"99  Kucherenko","Match Day -1","Entire Session",2/27/2026,41,17,24,577.54,542,1.09,62.47,3160.07,51,41,196.42,12:48:02PM,1:59:24PM,9,"Friday","MD-1 / GK",12:48:02PM,1:59:24PM,"2/27/2026","Kucherenko",71.36,
"99  Kucherenko","Match Day -2","Entire Session",2/26/2026,5,2,3,67.49,583,9.3,8.97,4059.72,39,20,310.51,12:10:48PM,1:39:01PM,9,"Thursday","MD-2 / GK",12:10:48PM,1:39:01PM,"2/26/2026","Kucherenko",88.21,
"99  Kucherenko","Match Day -3","Entire Session",2/25/2026,49,25,24,621.19,610,1.69,85.37,3612.67,71,74,262.29,12:10:53PM,1:49:50PM,9,"Wednesday","MD-3 / GK",12:10:53PM,1:49:50PM,"2/25/2026","Kucherenko",98.94,
"99  Kucherenko","Match Day -4","Entire Session",2/24/2026,50,25,25,594.3,568,0.6,79.84,2865.31,47,43,122.73,5:45:46PM,7:03:52PM,9,"Tuesday","MD-4 / GK",5:45:46PM,7:03:52PM,"2/24/2026","Kucherenko",78.09,
"12 Zivkovic","Match Day -3","Entire Session",3/3/2026,53,28,25,735.54,462,1.37,90.44,3686.2,70,52,185.86,11:51:02AM,1:32:31PM,10,"Tuesday","MD-3 / GK",11:53:20AM,1:30:07PM,"3/3/2026","Zivkovic",96.74,
"1 Pardalos","Match Day -3","Entire Session",3/3/2026,37,16,21,507.83,478,2.07,71.55,3236.71,69,51,209.83,11:51:02AM,1:32:31PM,10,"Tuesday","MD-3 / GK",11:52:40AM,1:32:31PM,"3/3/2026","Pardalos",99.84,
"99  Kucherenko","Match Day -3","Entire Session",3/3/2026,48,26,22,629.79,464,1.49,70.67,3090.45,51,40,126.11,11:51:02AM,1:32:31PM,10,"Tuesday","MD-3 / GK",11:51:02AM,1:30:05PM,"3/3/2026","Kucherenko",99.03,
"99  Kucherenko","Match Day -4","Entire Session",3/2/2026,52,25,27,638.65,461,0.66,65.25,2029.37,36,32,47.86,4:19:48PM,5:23:08PM,10,"Monday","MD-4 / GK",4:19:48PM,5:23:08PM,"3/2/2026","Kucherenko",63.33,
"1 Pardalos","Match Day -2","Entire Session",3/13/2026,14,7,7,189.22,448,4.61,22.54,3339.01,28,27,156.2,12:04:54PM,1:30:00PM,11,"Friday","MD-2 / GK",12:06:05PM,1:30:00PM,"3/13/2026","Pardalos",83.91,
"99  Kucherenko","Match Day -2","Entire Session",3/13/2026,40,24,16,550.14,397,1.88,54.1,3269.73,33,27,195.58,12:04:54PM,1:30:00PM,11,"Friday","MD-2 / GK",12:04:54PM,1:27:42PM,"3/13/2026","Kucherenko",82.79,
"1 Pardalos","Match Day -3","Entire Session",3/12/2026,50,35,15,678.44,462,1.49,99.54,3515.35,90,71,273.44,12:13:48PM,1:44:09PM,11,"Thursday","MD-3 / GK",12:13:48PM,1:44:09PM,"3/12/2026","Pardalos",90.34,
"99  Kucherenko","Match Day -3","Entire Session",3/12/2026,46,27,19,630.24,484,1.26,73.06,3254.81,59,47,187.64,12:13:48PM,1:44:09PM,11,"Thursday","MD-3 / GK",12:16:18PM,1:34:06PM,"3/12/2026","Kucherenko",77.79,
